num|en|ht
001|Ti kreyon espwa — Every child has a beautiful story to write|Ti kreyon espwa — « Chak timoun gen yon bèl istwa pou l ekri »
002|Ti kreyon espwa is a Haitian NGO supporting vulnerable children across Haiti with education, nutrition and creative expression.|Ti kreyon espwa se yon ONG ayisyen k ap sipòte timoun ki vilnerab toupatou an Ayiti nan edikasyon, nitrisyon ak ekspresyon kreyatif.
003|Education, nutrition and creative expression for vulnerable children in Haiti.|Edikasyon, nitrisyon ak ekspresyon kreyatif pou timoun ki vilnerab an Ayiti.
004|Illustration: a smiling Haitian child holding a pencil over an open notebook|Ilistrasyon: yon timoun ayisyen ki souri, k ap kenbe yon kreyon anlè yon kaye ki louvri
005|Skip to main content|Ale dirèk nan kontni prensipal la
006|Ti kreyon espwa — home|Ti kreyon espwa — Akèy
007|Haiti|Ayiti
008|Main navigation|Menu prensipal
009|Mission|Misyon
010|Programs|Pwogram
011|Our work|Travay nou
012|Gallery|Galri
013|Support us|Sipòte nou
014|Contact|Kontakte nou
015|Donate|Fè don
016|Open menu|Louvri menu
017|A smiling Haitian child holding a pencil over an open notebook|Yon timoun ayisyen ki souri, k ap kenbe yon kreyon anlè yon kaye ki louvri
018|A Haitian non-profit for children|Yon òganizasyon ayisyen san bi likratif pou timoun
019|Every child deserves a|Chak timoun merite yon
020|pencil|kreyon
021|and a reason to hope.|ak yon rezon pou espere.
022|Every child has a beautiful story to write.|« Chak timoun gen yon bèl istwa pou l ekri »
023|walks alongside vulnerable children across Haiti — with school supplies, warm meals and safe spaces where they can create, speak and heal.|mache bò kote timoun ki vilnerab toupatou an Ayiti — ak sak lekòl, repa cho ak kote ki an sekirite kote yo ka kreye, pale ak geri.
024|Make a donation|Fè yon don
025|Get involved|Anplike w
026|Every gift is tracked. Ask us what yours paid for — we will tell you.|Nou swiv chak don. Mande nou kisa pa w te peye — n ap di w.
027|What we do, every week|Sa n ap fè, chak semèn
028|School bags, supplies and reading corners so no child stays home for lack of a notebook.|Sak lekòl, founiti ak kwen lekti pou pa gen timoun ki rete lakay paske li pa gen kaye.
029|Creative workshops|Atelye kreyatif
030|Drawing, painting and storytelling sessions where children put words on what they carry.|Sesyon desen, penti ak rakonte istwa kote timoun yo mete mo sou sa yo pote nan kè yo.
031|Hot meals and hygiene kits, because a hungry child cannot learn.|Repa cho ak twous ijyèn, paske yon timoun ki grangou pa ka aprann.
032|Who we are|Kiyès nou ye
033|A small pencil, a whole lot of hope|Yon ti kreyon, anpil espwa
034|was born in Haiti, out of a simple conviction: a child holding a pencil is a child holding their own future. Our name says it — a small pencil, and hope: the child's, and their community's.|fèt an Ayiti, ak yon konviksyon senp: yon timoun ki kenbe yon kreyon se yon timoun ki kenbe pwòp avni l. Non nou di l — yon ti kreyon, ak espwa: espwa timoun nan, ak espwa kominote l.
035|Our mission|Misyon nou
036|To support vulnerable children in Haiti by giving them access to education, proper nutrition and spaces for creative expression — so that poverty never becomes the reason a child stops dreaming.|Sipòte timoun ki vilnerab an Ayiti lè n ba yo aksè nan edikasyon, bon nitrisyon ak kote pou yo eksprime kreyativite yo — pou povrete pa janm vin rezon ki fè yon timoun sispann reve.
037|We work close to families, schools and local leaders, one neighbourhood at a time, with full transparency on where every gourde and every dollar goes.|Nou travay pre fanmi, lekòl ak lidè lokal yo, yon katye apre lòt, ak transparans total sou kote chak goud ak chak dola ale.
038|Our vision|Vizyon nou
039|A Haiti where every child — whatever their neighbourhood, whatever their family's income — grows up fed, in school, and free to tell their own story.|Yon Ayiti kote chak timoun — kèlkeswa katye l, kèlkeswa revni fanmi l — grandi byen manje, ale lekòl, epi lib pou rakonte pwòp istwa l.
040|We are building a generation of children who read, draw, speak up, and become the adults their community is waiting for.|N ap bati yon jenerasyon timoun ki li, ki desine, ki pale, epi ki vin granmoun kominote a ap tann.
041|Dignity first|Diyite an premye
042|Children are actors of their own story, never a display of misery.|Timoun yo se aktè pwòp istwa yo, pa janm yon espektak mizè.
043|Local roots|Rasin lokal
044|Led by Haitians, in Haitian Creole, with the families we serve.|Dirije pa Ayisyen, an Kreyòl ayisyen, ansanm ak fanmi n ap sèvi yo.
045|Transparency|Transparans
046|Every donation is tracked and reported back to those who gave it.|Chak don swivi, epi nou voye rapò bay moun ki te fè l.
047|Continuity|Kontinite
048|We stay. Real change is measured in school years, not in single visits.|Nou rete. Chanjman reyèl mezire nan ane lekòl, pa nan vizit sèlman.
049|What we do|Sa n ap fè
050|Three pillars, one child at a time|Twa poto, yon timoun apre lòt
